trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-110.94680979536018,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-38.95210028370397,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-161.01351096888035,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-38.907800933680285,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-43.45070741205877,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-46.249648885114,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-105.18911917153578,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-134.7832659020573,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,5,-62.00676734411441,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,14,-5.165334679696395,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-123.77268108374534,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,13,-15.876983382992865,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,3,-62.62414364305592,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,8,-13.69687203442125,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-136.3982172014184,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,13,-24.229052416977016,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-36.32560743219555,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-27.66624776953478,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-16.43898836959656,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-14.645427267500537,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-10.287438633105577,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,11,-1.50458415373553,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-169.24281971887518,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 4}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,18,10.463477917210794,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,0,-78.27785875444945,"{0: 25, 1: 2, 2: 0, 3: 1, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,5,-16.8774348080453,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,7,3.9607994879672304,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,3,-19.80801364584671,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-34.2291614827598,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,13,-2.46682398302836,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
