trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 0.9999995000000417}",20,0,-125.48875595089322,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.001, 'e': 0.9999980000006666}",20,0,-54.09418675656165,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
3,False,"{'a': 0.001, 'e': 0.999995500003375}",25,0,-57.52549843438145,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.001, 'e': 0.9999920000106667}",20,2,-88.12718733322524,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 2}",1
5,False,"{'a': 0.001, 'e': 0.9999875000260416}",20,0,-67.67136127003664,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.001, 'e': 0.999982000054}",20,0,-88.51057061084279,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.001, 'e': 0.9999755001000415}",20,0,-182.52444580172394,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
8,False,"{'a': 0.001, 'e': 0.9999680001706663}",25,0,-67.57894299235207,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.001, 'e': 0.9999595002733742}",20,0,-47.523389221020345,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.001, 'e': 0.9999500004166653}",30,0,-153.6546761359925,"{0: 14, 1: 5, 2: 8, 3: 3, 4: 0}",0
11,False,"{'a': 0.001, 'e': 0.9999395006100392}",20,0,-104.61461040384691,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.001, 'e': 0.9999280008639958}",20,0,-63.31808782092326,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.001, 'e': 0.9999155011900349}",25,0,-76.30425230777335,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.001, 'e': 0.9999020016006562}",25,0,-101.26650025064579,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.001, 'e': 0.9998875021093592}",20,0,-99.8365851500567,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",1
16,False,"{'a': 0.001, 'e': 0.9998720027306434}",20,11,-13.154815309340309,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.001, 'e': 0.9998555034800082}",20,0,-167.97116655909312,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
18,False,"{'a': 0.001, 'e': 0.9998380043739528}",20,0,-50.88371547538609,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.001, 'e': 0.9998195054299763}",20,0,-76.52921402016878,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.001, 'e': 0.9998000066665778}",20,0,-151.3224390328912,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
21,False,"{'a': 0.001, 'e': 0.9997795081032559}",20,0,-82.27513050967625,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
22,False,"{'a': 0.001, 'e': 0.9997580097605092}",20,0,-137.49743851621852,"{0: 11, 1: 4, 2: 1, 3: 2, 4: 2}",0
23,False,"{'a': 0.001, 'e': 0.9997355116598361}",25,0,-207.94208116172527,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
24,False,"{'a': 0.001, 'e': 0.9997120138237345}",20,0,-16.41230893009184,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
25,False,"{'a': 0.001, 'e': 0.9996875162757026}",25,0,-211.7982195864313,"{0: 11, 1: 2, 2: 9, 3: 0, 4: 3}",0
26,False,"{'a': 0.001, 'e': 0.9996620190402377}",25,0,-123.82970147133169,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
27,False,"{'a': 0.001, 'e': 0.9996355221428369}",25,0,-110.27422653651826,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
28,False,"{'a': 0.001, 'e': 0.9996080256099974}",20,0,-103.03577471437077,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
29,False,"{'a': 0.001, 'e': 0.9995795294692156}",20,0,-137.5805115088912,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",1
30,False,"{'a': 0.001, 'e': 0.9995500337489875}",25,0,-192.8577947103167,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
31,False,"{'a': 0.001, 'e': 0.999519538478809}",20,0,-204.78060096540847,"{0: 10, 1: 1, 2: 3, 3: 3, 4: 3}",0
32,False,"{'a': 0.001, 'e': 0.9994880436891754}",20,0,-38.449727540484496,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
33,False,"{'a': 0.001, 'e': 0.9994555494115813}",20,0,-160.2284076482323,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
34,False,"{'a': 0.001, 'e': 0.9994220556785212}",25,0,-90.77764891366276,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
35,False,"{'a': 0.001, 'e': 0.9993875625234886}",25,0,-141.11745580542296,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
36,False,"{'a': 0.001, 'e': 0.9993520699809768}",20,0,-96.55202851706491,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
37,False,"{'a': 0.001, 'e': 0.9993155780864782}",30,0,-163.87711384100098,"{0: 14, 1: 1, 2: 13, 3: 2, 4: 0}",0
38,False,"{'a': 0.001, 'e': 0.9992780868764849}",20,0,-143.09833835636397,"{0: 9, 1: 3, 2: 4, 3: 3, 4: 1}",0
39,False,"{'a': 0.001, 'e': 0.999239596388488}",25,0,-94.35453624170192,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
40,False,"{'a': 0.001, 'e': 0.9992001066609779}",25,0,-127.37684778730257,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
41,False,"{'a': 0.001, 'e': 0.9991596177334445}",20,0,-59.55924108761133,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
42,False,"{'a': 0.001, 'e': 0.9991181296463766}",25,0,-120.48384142170104,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
43,False,"{'a': 0.001, 'e': 0.9990756424412622}",25,6,-115.86407839169277,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 2}",1
44,False,"{'a': 0.001, 'e': 0.9990321561605888}",25,0,-134.54481644958616,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
45,False,"{'a': 0.001, 'e': 0.9989876708478425}",20,0,-141.4774241329892,"{0: 7, 1: 5, 2: 5, 3: 2, 4: 1}",0
46,False,"{'a': 0.001, 'e': 0.9989421865475084}",25,0,-5.557241604363691,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
47,False,"{'a': 0.001, 'e': 0.9988957033050712}",25,0,-172.18406285498568,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
48,False,"{'a': 0.001, 'e': 0.9988482211670138}",20,0,-46.40739695440205,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
49,False,"{'a': 0.001, 'e': 0.9987997401808185}",20,12,-10.290767888603877,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
50,False,"{'a': 0.001, 'e': 0.9987502603949663}",20,0,-211.36837553625907,"{0: 9, 1: 2, 2: 3, 3: 3, 4: 3}",0
51,False,"{'a': 0.001, 'e': 0.9986997818589368}",20,0,-40.60227203837631,"{0: 10, 1: 9, 2: 1, 3: 0, 4: 0}",0
52,False,"{'a': 0.001, 'e': 0.9986483046232089}",20,0,-101.00891733748266,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
53,False,"{'a': 0.001, 'e': 0.9985958287392593}",30,0,-228.84235092150297,"{0: 18, 1: 0, 2: 7, 3: 1, 4: 4}",0
54,False,"{'a': 0.001, 'e': 0.9985423542595644}",25,0,-77.38912256864475,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
55,False,"{'a': 0.001, 'e': 0.9984878812375985}",20,0,-144.1214720436453,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",1
56,False,"{'a': 0.001, 'e': 0.9984324097278344}",25,0,-157.26123895404407,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
57,False,"{'a': 0.001, 'e': 0.9983759397857438}",20,0,-93.7691480599516,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",1
58,False,"{'a': 0.001, 'e': 0.9983184714677966}",25,0,-172.2976770131725,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
59,False,"{'a': 0.001, 'e': 0.9982600048314613}",20,0,-135.67641951016512,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
60,False,"{'a': 0.001, 'e': 0.9982005399352042}",20,0,-116.80551924044728,"{0: 8, 1: 5, 2: 6, 3: 0, 4: 1}",0
61,False,"{'a': 0.001, 'e': 0.9981400768384904}",20,0,-217.96292713245765,"{0: 5, 1: 6, 2: 3, 3: 4, 4: 2}",0
62,False,"{'a': 0.001, 'e': 0.9980786156017829}",20,0,-160.5443671329046,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
63,False,"{'a': 0.001, 'e': 0.9980161562865429}",20,0,-65.16594434018019,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
64,False,"{'a': 0.001, 'e': 0.99795269895523}",25,0,-88.15474724787458,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
65,False,"{'a': 0.001, 'e': 0.9978882436713011}",25,0,-184.41626339193903,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
66,False,"{'a': 0.001, 'e': 0.9978227904992117}",20,0,-65.56673743787316,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
67,False,"{'a': 0.001, 'e': 0.9977563395044151}",20,0,-129.50115830056973,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 1}",0
