trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-79.06260434236158,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-91.04466992846365,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-294.84660331038253,"{0: 9, 1: 3, 2: 5, 3: 4, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-135.69907183093184,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-111.51534350645306,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-153.07391754911876,"{0: 9, 1: 2, 2: 4, 3: 4, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-168.75974502739624,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-89.71612581762938,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-73.27298953137576,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,9,-75.86092821909155,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-161.29200889211702,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-108.20827425536942,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-141.49818369611017,"{0: 18, 1: 1, 2: 8, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,15,-29.40344507213313,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-114.54159377219327,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-111.27775920156888,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-160.44701606484804,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-122.70609067303964,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-55.09792988871763,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-140.70442384100784,"{0: 14, 1: 3, 2: 4, 3: 3, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,0,-157.04870763308318,"{0: 18, 1: 1, 2: 7, 3: 3, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-114.00518633859384,"{0: 8, 1: 1, 2: 10, 3: 1, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,17,-42.193775249122595,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-135.14122518789188,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-179.42768187626876,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-133.22515834328308,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-185.52949424087245,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-218.92674396511364,"{0: 7, 1: 6, 2: 2, 3: 1, 4: 4}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,16,-67.647691001288,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-95.38235310528594,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
